,geo_precision,count,boundary,lon,lat
5605,4.0,1,BRA,-64.19116465344287,-8.008987544191218
5606,4.0,1,BRA,-63.707871226684915,3.633270077005839
5607,4.0,1,BRA,-56.76034201629436,1.102176792653907
5608,4.0,1,BRA,-57.112044575370874,-3.143497548806408
5609,4.0,1,BRA,-44.662600056640976,-5.31378488579378
5610,4.0,1,BRA,-59.712900942691384,-12.484290727973761
5611,4.0,1,BRA,-52.55115642865482,-17.787380990511767
5612,4.0,1,BRA,-41.523337703328814,-7.497482689556509
5613,4.0,1,BRA,-64.87092357919771,-0.762519898844225
5614,1.0,6,,174.583,-36.75
5615,2.0,1,NGA.15.3_1,7.3385554733556,9.263404323361797
5616,2.0,1,NGA.15.3_1,7.353099672235702,9.256026404520185
5617,2.0,1,NGA.5.4_1,10.877813448278076,11.499733685261255
5618,3.0,1,NZL.19_1,171.8326066559644,-41.89488910437947
5619,4.0,1,NZL,175.14033875776397,-37.82861077856307
5620,4.0,1,NZL,169.67017526236367,-45.00198259849242
5621,4.0,1,NZL,170.6446806014602,-44.17810729079087
5622,4.0,1,NZL,168.9537185730507,-46.53955171646886
5623,4.0,1,NZL,169.30085652324277,-45.94066746830903
5624,4.0,1,NZL,176.93475738563183,-38.423478732029395
5625,4.0,1,NZL,175.91552070935154,-38.39848187521811
5626,4.0,1,NZL,175.27358963164556,-39.76053331319697
5627,4.0,1,NZL,174.7766609856654,-39.570037771810526
5628,4.0,1,NZL,177.54719777470223,-38.183393503094145
5629,4.0,1,NZL,174.26660959577737,-35.821453953097986
5630,4.0,1,NZL,168.69940743879994,-46.186501386899536
5631,4.0,1,NZL,171.84689926242837,-44.00468396477429
5632,4.0,1,NZL,178.05557366762267,-37.91939099898233
5633,4.0,1,NZL,168.96816268765565,-44.58131828569799
5634,4.0,1,NZL,174.95449235532936,-39.45017433442605
5635,4.0,1,NZL,172.236788447363,-41.09296394626768
5636,4.0,1,NZL,168.86803455765983,-45.95341132589268
5637,4.0,1,NZL,174.15163643761082,-35.63909558531614
5638,4.0,1,NZL,171.13101522524065,-43.32257336096602
5639,2.0,1,NGA.15.3_1,7.3385554733556,9.263404323361797
5640,2.0,1,NGA.15.3_1,7.353099672235702,9.256026404520185
5641,2.0,1,NGA.5.4_1,10.877813448278076,11.499733685261255
5642,3.0,1,NZL.19_1,171.8326066559644,-41.89488910437947
5643,4.0,1,NER,11.743909954764339,17.938682342283414
5644,4.0,1,NER,8.005808647346543,13.403579865152285
5645,4.0,1,NER,12.765076197115809,21.58126934450069
5646,4.0,1,NER,11.29870851725648,21.892740177432636
5647,4.0,1,NER,5.750990876171437,18.512424019391894
5648,4.0,1,NER,11.0031906391653,14.761789926026195
5649,4.0,1,NER,10.55225305864427,22.026438243171075
5650,4.0,1,NER,15.494479025819993,20.58231807908676
5651,4.0,1,NER,14.578917476644673,22.185518433091346
5652,4.0,1,NER,11.277154071067876,20.914193973236546
5653,4.0,1,NER,4.565206685946023,17.76165963828942
5654,4.0,1,NER,9.098270772750727,20.331160396232452
5655,4.0,1,NER,11.620880473450752,21.522550992014303
5656,4.0,1,NER,8.33619150114473,20.782568684256706
5657,4.0,1,NER,3.376810418731554,12.834252510367781
5658,4.0,1,NER,15.491723290334559,17.9871227285452
5659,4.0,1,NER,6.749100589969443,17.068519817431454
5660,4.0,1,NER,5.78871761044499,13.930983978823848
5661,4.0,1,NER,10.12958693336051,20.51768518715268
5662,4.0,1,NER,4.85263281841811,18.177900533958486
5663,1.0,5,,19.0833,47.5
5664,2.0,1,NGA.15.3_1,7.3385554733556,9.263404323361797
5665,2.0,1,NGA.15.3_1,7.353099672235702,9.256026404520185
5666,2.0,1,NGA.5.4_1,10.877813448278076,11.499733685261255
5667,3.0,1,NZL.19_1,171.8326066559644,-41.89488910437947
5668,4.0,1,HUN,17.069532449677375,46.44098986832721
5669,4.0,1,HUN,19.10578316418033,47.22681508397214
5670,4.0,1,HUN,19.201251269772012,46.69743093633051
5671,4.0,1,HUN,17.7510015677749,47.19754785631702
5672,4.0,1,HUN,20.99148174976944,46.53087643813222
5673,4.0,1,HUN,19.24631050071268,46.2975290867489
5674,4.0,1,HUN,19.207191214381165,47.92983700621743
5675,4.0,1,HUN,18.367876120145567,47.11412656204091
5676,4.0,1,HUN,19.654075662113026,48.235398013977374
5677,4.0,1,HUN,19.03539828884805,47.37203377032607
5678,4.0,1,HUN,19.26046102200292,46.2843368501157
5679,4.0,1,HUN,22.31677921944698,48.0252607426541
5680,4.0,1,HUN,19.66921806642393,46.942491695498816
5681,4.0,1,HUN,19.533550754635,47.312038431907794
5682,4.0,1,HUN,18.309245021120425,46.88571273241335
5683,4.0,1,HUN,17.222927761011416,46.67970284471663
5684,4.0,1,HUN,22.3805805286047,47.74973430045699
5685,4.0,1,HUN,18.94423421416288,46.332644093222065
5686,4.0,1,HUN,19.413503962632518,47.14422704225541
5687,1.0,2,,-63.5643,10.1787
5688,1.0,2,,-66.9167,10.5
5689,2.0,1,NGA.15.3_1,7.3385554733556,9.263404323361797
5690,2.0,1,NGA.15.3_1,7.353099672235702,9.256026404520185
5691,2.0,1,NGA.5.4_1,10.877813448278076,11.499733685261255
5692,3.0,1,NZL.19_1,171.8326066559644,-41.89488910437947
5693,4.0,1,VEN,-69.83421823042526,10.399560663523307
5694,4.0,1,VEN,-61.5835815523186,5.500921080496581
5695,4.0,1,VEN,-69.30590435712395,9.317209049514737
5696,4.0,1,VEN,-61.67405608961921,8.187690728310328
5697,4.0,1,VEN,-72.02821445912151,8.03942535821352
5698,4.0,1,VEN,-69.09214345782419,10.405496679138482
5699,4.0,1,VEN,-72.18622608212863,8.29367364856223
5700,4.0,1,VEN,-66.06392772105052,9.096283354996086
5701,4.0,1,VEN,-67.7646685409118,6.752987490995944
5702,4.0,1,VEN,-65.73416254726507,6.50849539902947
5703,4.0,1,VEN,-68.59987624687307,9.102221395198008
5704,4.0,1,VEN,-65.79186326314941,5.337118479257848
5705,4.0,1,VEN,-61.09226571701164,9.152969961274971
5706,4.0,1,VEN,-66.73245805755448,5.181801244964205
5707,4.0,1,VEN,-70.83786690927376,9.866415413159531
5708,4.0,1,VEN,-66.35846936634096,2.006110508324058
5709,4.0,1,VEN,-64.06735681939959,7.973585150065155
5710,4.0,1,VEN,-68.34349800227216,9.5926893986141
