,geo_precision,count,boundary,lon,lat
9658,1,3,AFG.14.6_1,69.1117,34.5292
9661,1,1,AFG.14.6_1,69.1233,34.5006
9671,1,2,AFG.14.6_1,69.1694,34.5407
9674,1,1,AFG.14.6_1,69.1759,34.5111
9675,1,188,AFG.14.6_1,69.1833,34.5167
9677,1,2,AFG.14.6_1,69.1882,34.5357
9678,1,2,AFG.14.6_1,69.1903,34.5283
9396,1,1,AFG.15.1_1,65.6494,31.6547
9421,1,1,AFG.15.11_1,65.9786,31.956
9423,1,1,AFG.15.11_1,65.9936,32.2077
9425,1,1,AFG.15.11_1,66.0004,32.0849
9428,1,1,AFG.15.11_1,66.0442,31.9698
9420,1,3,AFG.15.13_1,65.9611,31.3206
9437,1,3,AFG.15.13_1,66.4,31.0058
9407,1,1,AFG.15.3_1,65.821,31.585
9412,1,1,AFG.15.3_1,65.8851,31.4106
9383,1,3,AFG.15.4_1,65.3812,32.1615
9398,1,40,AFG.15.5_1,65.7101,31.6133
9399,1,1,AFG.15.5_1,65.7294,31.5717
9400,1,1,AFG.15.5_1,65.7308,31.4737
9390,1,1,AFG.15.6_1,65.4677,31.8928
9393,1,2,AFG.15.6_1,65.5242,31.9031
9341,1,1,AFG.15.8_1,64.8722,31.5545
9349,1,2,AFG.15.8_1,64.8996,31.6783
9352,1,1,AFG.15.8_1,64.906,31.5344
9357,1,1,AFG.15.8_1,65.0249,31.5306
9367,1,1,AFG.15.8_1,65.1333,31.7333
9369,1,2,AFG.15.8_1,65.1717,31.5166
9375,1,1,AFG.15.8_1,65.2621,31.7899
9377,1,1,AFG.15.8_1,65.3068,31.811
9371,1,1,AFG.15.9_1,65.2103,31.5
9374,1,1,AFG.15.9_1,65.2612,31.4655
9379,1,1,AFG.15.9_1,65.3253,31.4628
9380,1,1,AFG.15.9_1,65.3336,31.5407
9739,1,1,AFG.16.1_1,69.7208,34.8958
9718,1,1,AFG.16.2_1,69.4976,35.066
9701,1,1,AFG.16.3_1,69.2917,35.0648
9706,1,1,AFG.16.3_1,69.3389,35.0734
9709,1,1,AFG.16.4_1,69.3445,35.0164
9722,1,5,AFG.16.5_1,69.6186,34.9596
9725,1,1,AFG.16.6_1,69.6444,34.871
9726,1,8,AFG.16.6_1,69.651,34.8212
9728,1,1,AFG.16.6_1,69.6548,34.849
9729,1,6,AFG.16.6_1,69.6644,34.8001
9730,1,1,AFG.16.6_1,69.6666,34.7591
9731,1,3,AFG.16.6_1,69.6667,34.7772
9732,1,1,AFG.16.6_1,69.6686,34.7406
9733,1,1,AFG.16.6_1,69.67,34.8284
9734,1,1,AFG.16.6_1,69.673,34.719
9735,1,1,AFG.16.6_1,69.673,34.8794
9736,1,2,AFG.16.6_1,69.6793,34.7946
9746,1,1,AFG.17.11_1,69.8219,33.2648
9767,1,1,AFG.17.12_1,70.0671,33.4362
9785,1,1,AFG.17.12_1,70.2053,33.2594
9790,1,3,AFG.17.12_1,70.2172,33.4618
9751,1,1,AFG.17.2_1,69.9128,33.2874
9752,1,39,AFG.17.4_1,69.9204,33.3395
9757,1,1,AFG.17.4_1,69.9917,33.3649
9747,1,2,AFG.17.5_1,69.8281,33.3257
9750,1,2,AFG.17.5_1,69.9015,33.3143
9741,1,1,AFG.17.6_1,69.7344,33.5414
9748,1,1,AFG.17.6_1,69.8389,33.4515
9721,1,4,AFG.17.7_1,69.5853,33.2816
9723,1,1,AFG.17.7_1,69.6244,33.4044
9740,1,1,AFG.17.7_1,69.721,33.3859
9749,1,1,AFG.17.9_1,69.8715,33.5842
9758,1,5,AFG.17.9_1,69.995,33.4582
9760,1,1,AFG.17.9_1,70.0061,33.4948
9910,1,1,AFG.18.1_1,71.1076,35.0098
9913,1,4,AFG.18.1_1,71.147,34.8731
9914,1,2,AFG.18.12_1,71.1545,34.7441
9916,1,1,AFG.18.2_1,71.3581,35.0333
9895,1,1,AFG.18.4_1,70.8811,34.7452
9896,1,1,AFG.18.4_1,70.8865,34.7179
9917,1,1,AFG.18.5_1,71.3944,34.9714
9890,1,1,AFG.18.6_1,70.8577,34.9667
9893,1,1,AFG.18.6_1,70.8799,34.9695
9918,1,1,AFG.18.9_1,71.4955,35.1965
9919,1,2,AFG.18.9_1,71.6002,35.1953
9612,1,1,AFG.19.1_1,68.8998,36.5211
9585,1,2,AFG.19.2_1,68.788,36.7258
9586,1,2,AFG.19.2_1,68.8,36.6755
9587,1,1,AFG.19.2_1,68.8004,36.7082
9590,1,2,AFG.19.2_1,68.8199,36.6859
9672,1,1,AFG.19.3_1,69.173,37.0813
9676,1,1,AFG.19.3_1,69.1853,37.028
9691,1,1,AFG.19.3_1,69.2419,37.0272
9695,1,1,AFG.19.3_1,69.2564,36.8301
9554,1,2,AFG.19.4_1,68.6113,37.1904
9607,1,1,AFG.19.4_1,68.8922,37.1724
9622,1,1,AFG.19.4_1,68.9364,37.189
9627,1,12,AFG.19.4_1,68.9501,37.1431
9628,1,4,AFG.19.4_1,68.9567,37.1587
9630,1,1,AFG.19.4_1,68.9752,37.1997
9634,1,1,AFG.19.4_1,68.9872,37.1729
9645,1,1,AFG.19.4_1,69.0335,37.1914
9646,1,2,AFG.19.4_1,69.0426,37.1166
9638,1,1,AFG.19.5_1,69.0161,36.6751
9640,1,1,AFG.19.5_1,69.0222,36.7875
9644,1,3,AFG.19.5_1,69.0333,36.6445
9656,1,2,AFG.19.5_1,69.1053,36.7099
9659,1,3,AFG.19.5_1,69.1128,36.683
9663,1,1,AFG.19.5_1,69.1341,36.7035
9579,1,1,AFG.19.6_1,68.7484,36.8457
9588,1,1,AFG.19.6_1,68.8028,36.8006
9596,1,2,AFG.19.6_1,68.8437,36.6708
9597,1,3,AFG.19.6_1,68.8472,36.7896
9600,1,70,AFG.19.6_1,68.857,36.729
9605,1,1,AFG.19.6_1,68.8715,36.7428
9606,1,8,AFG.19.6_1,68.8827,36.6648
9613,1,1,AFG.19.6_1,68.901,36.605
