,geo_precision,count,boundary,lon,lat
1114,1,3,BGR.5.1_1,23.3167,42.6833
1115,1,1,BGR.5.1_1,23.4167,42.7667
1118,1,1,BGR.6.10_1,26.3167,41.7167
1117,1,1,BGR.6.3_1,25.5667,41.7667
1492,4,1,BHR,50.5,26
1491,1,1,BHR.1_1,50.5831,26.2361
667,1,2,BHS.21_1,-77.35,25.0833
1029,4,1,BIH,17.833333,44.25
1027,1,1,BIH.2.8_1,15.8708,44.8169
1028,1,1,BIH.3.7_1,19.2967,44.1075
1182,4,2,BLR,28,53
1181,1,2,BLR.5.11_1,27.5667,53.9
648,4,2,BLZ,-88.75,17.25
647,1,2,BLZ.1_1,-88.55,17.3333
646,1,1,BLZ.2_1,-88.7,17.1333
645,1,1,BLZ.4_1,-89.0667,17.4
702,1,1,BMU.5_1,-64.7911,32.2881
701,4,2,BOL,-65,-17
700,4,28,BRA,-55,-10
696,1,2,BRA.13.93_1,-44.4308,-16.2119
692,1,1,BRA.16.326_1,-54.3833,-24.9333
693,1,2,BRA.16.96_1,-49.25,-25.4167
697,1,2,BRA.19.67_1,-43.2333,-22.9
699,1,1,BRA.20.28_1,-36.7961,-5.23361
691,1,10,BRA.23.3_1,-60.6667,2.81667
695,1,3,BRA.25.564_1,-46.6167,-23.5333
690,1,1,BRA.4.24_1,-65.9,-2.51667
698,1,1,BRA.5.154_1,-40.8833,-12.4667
694,1,8,BRA.7.1_1,-47.9167,-15.7833
1791,4,1,BTN,90.5,27.5
1131,4,2,BWA,24,-22
1034,4,2,CAF,21,7
1031,1,1,CAF.12.2_1,18.1275,4.80048
1032,1,2,CAF.6.2_1,19.0739,5.71801
1030,1,3,CAF.7.2_1,17.65,3.8
1033,1,1,CAF.9.2_1,22.8184,4.74132
616,4,61,CAN,-96,60
583,1,2,CAN.1.10_1,-118.8,55.1667
585,1,4,CAN.1.16_1,-114.083,51.0833
586,1,6,CAN.1.16_1,-114.017,51.2667
587,1,1,CAN.1.3_1,-112.28,55.0378
584,1,1,CAN.1.6_1,-115.667,51.15
609,1,1,CAN.10.2_1,-63.7833,46.4
601,1,1,CAN.11.19_1,-75.65,45.4833
602,1,10,CAN.11.20_1,-73.5833,45.5
603,1,1,CAN.11.27_1,-73.4333,46.0333
604,1,12,CAN.11.39_1,-72,47.5
580,1,1,CAN.2.12_1,-122.767,53.9167
578,1,14,CAN.2.14_1,-123.133,49.25
579,1,1,CAN.2.14_1,-123.067,49.3167
582,1,1,CAN.2.19_1,-119.35,50.3667
575,1,2,CAN.2.24_1,-129.267,53.4333
581,1,1,CAN.2.7_1,-119.483,49.9
576,1,1,CAN.2.9_1,-126.667,49.9167
577,1,1,CAN.2.9_1,-125.833,49.6667
589,1,2,CAN.3.10_1,-97.7167,52.15
