,geo_precision,count,boundary,lon,lat
0,1,3,TUR.22.11_1,26.4127,40.1555
1,1,1,TUR.28.7_1,26.555999999999997,41.6763
2,1,2,TUR.28.7_1,26.5587,41.6757
3,1,1,TUR.41.1_1,26.971999999999998,38.7998
4,1,1,TUR.12.7_1,27.0244,39.5961
5,1,1,TUR.41.19_1,27.1218,38.387
6,1,1,TUR.41.19_1,27.1302,38.4173
7,1,14,TUR.41.19_1,27.1384,38.4127
8,1,1,TUR.41.19_1,27.1436,38.4385
9,1,1,TUR.41.15_1,27.1638,38.4672
10,1,1,TUR.41.7_1,27.17,38.3713
11,1,1,TUR.41.7_1,27.3179,38.3205
12,1,2,TUR.56.10_1,27.4265,38.611999999999995
13,1,1,TUR.59.1_1,27.4292,37.0383
14,1,1,TUR.56.10_1,27.4356,38.623000000000005
15,1,3,TUR.73.6_1,27.5085,40.978
16,1,1,TUR.59.3_1,27.6842,36.7378
17,1,4,TUR.11.13_1,27.8396,37.845
18,1,1,TUR.11.13_1,27.8443,37.8472
19,1,1,TUR.12.16_1,27.8861,39.6492
20,1,1,TUR.73.2_1,28.0003,41.285
21,1,1,TUR.56.11_1,28.0745,38.4688
22,1,1,TUR.40.37_1,28.151999999999997,41.0835
23,1,1,TUR.59.6_1,28.6909,36.9625
24,1,1,TUR.40.4_1,28.7232,40.9827
25,1,1,TUR.40.26_1,28.7748,40.996
26,1,2,TUR.40.7_1,28.8506,40.9975
27,1,1,TUR.40.34_1,28.8685,41.1065
28,1,2,TUR.40.7_1,28.8712,40.9894
29,1,2,TUR.40.17_1,28.8762,41.0435
30,1,1,TUR.40.22_1,28.8836,41.0185
31,1,2,TUR.40.9_1,28.8989,41.0523
32,1,1,TUR.40.21_1,28.9001,41.077
33,1,3,TUR.40.19_1,28.9242,41.0471
34,1,7,TUR.40.20_1,28.9408,41.0225
35,1,23,TUR.40.20_1,28.9578,41.011
36,1,5,TUR.40.20_1,28.9659,41.0098
37,1,2,TUR.40.13_1,28.9763,41.0305
38,1,32,TUR.40.13_1,28.9775,41.0369
39,1,1,TUR.40.32_1,28.9821,41.0789
40,1,12,TUR.40.32_1,28.9872,41.0605
41,1,1,TUR.40.10_1,28.9918,41.0378
42,1,8,TUR.40.10_1,29.0099,41.0454
43,1,2,TUR.40.10_1,29.026,41.0478
44,1,1,TUR.25.16_1,29.0294,37.7887
45,1,1,TUR.40.23_1,29.0355,41.0
46,1,1,TUR.40.30_1,29.05,41.1667
47,1,16,TUR.40.23_1,29.0521,40.9813
48,1,3,TUR.21.17_1,29.0601,40.1956
49,1,1,TUR.40.37_1,29.0605,41.0396
50,1,1,TUR.21.17_1,29.0607,40.1878
51,1,1,TUR.40.23_1,29.0658,41.0005
52,1,1,TUR.40.11_1,29.0801,41.0815
53,1,3,TUR.25.16_1,29.0875,37.7742
54,1,4,TUR.40.27_1,29.1684,40.9541
55,1,1,TUR.52.2_1,29.3696,40.7641
56,1,1,TUR.77.4_1,29.4057,38.6736
57,1,1,TUR.77.4_1,29.4058,38.6732
