,geo_precision,count,boundary,lon,lat
0,1,2,,-171.876,-13.9928
1,2,1,USA.12.4_1,-160.149,21.9067
2,2,2,USA.12.2_1,-158.007,21.3156
3,2,2,USA.12.2_1,-157.858,21.3069
4,2,1,,-157.738,21.4128
5,2,1,USA.12.5_1,-157.071,21.1711
6,2,1,USA.12.5_1,-156.662,20.8928
7,2,1,USA.12.5_1,-156.608,20.8792
8,2,1,USA.12.1_1,-155.098,19.7272
9,2,3,USA.2.3_1,-149.9,61.2181
10,2,2,USA.2.15_1,-149.439,61.5814
11,2,4,USA.2.22_1,-141.273,65.0433
12,2,1,,-124.39,40.4765
13,2,2,USA.38.21_1,-124.018,44.9582
14,2,1,USA.38.8_1,-123.964,42.2818
15,2,1,USA.38.27_1,-123.451,44.8665
16,2,1,USA.38.10_1,-123.333,43.2895
17,2,1,USA.5.23_1,-123.248,39.7929
18,2,1,USA.5.53_1,-123.168,40.5832
19,2,1,USA.48.34_1,-123.007,46.804
20,2,1,USA.48.28_1,-122.968,48.5832
21,2,2,USA.5.17_1,-122.959,39.4071
22,2,1,USA.5.49_1,-122.852,38.4852
23,2,1,USA.5.17_1,-122.784,39.0999
24,2,4,USA.5.21_1,-122.734,38.0666
25,2,1,USA.38.26_1,-122.685,45.5112
26,2,3,USA.38.26_1,-122.676,45.5235
27,2,1,USA.5.21_1,-122.562,37.9746
28,2,16,USA.5.38_1,-122.419,37.7749
29,2,2,USA.5.38_1,-122.411,37.8008
30,2,17,USA.5.45_1,-122.392,40.5865
31,2,1,USA.5.38_1,-122.369,37.7244
32,2,2,USA.5.28_1,-122.334,38.4832
33,2,2,USA.48.17_1,-122.332,47.6062
34,2,1,USA.48.17_1,-122.311,47.6561
35,2,3,USA.5.1_1,-122.273,37.8716
36,2,32,USA.5.1_1,-122.271,37.8044
37,2,1,USA.5.47_1,-122.191,41.6349
38,2,1,USA.5.41_1,-122.182,37.4538
39,2,3,USA.48.27_1,-122.118,47.0332
