,geo_precision,count,boundary,lon,lat
155,3.0,19,PHL.13_1,120.55,16.45
156,3.0,2,PHL.1_1,120.683,17.4333
157,4.0,95,,122.0,13.0
158,4.0,5,PHL,123.4,9.7064
159,4.0,3,,123.117,12.9167
160,1.0,4,,77.2167,28.6667
161,1.0,4,,74.8656,31.6331
162,1.0,3,,81.7833,21.15
163,1.0,1,,78.4744,17.3753
164,1.0,1,,72.8258,18.975
165,1.0,1,,77.2,28.6
166,1.0,1,,78.1667,29.9667
167,3.0,1,IND.17_1,76.5,10.0
168,3.0,1,IND.16_1,76.0,13.5
169,3.0,1,IND.14_1,76.6667,33.9167
170,4.0,95,IND,77.0,20.0
171,1.0,1,,67.25,32.25
172,2.0,2,AFG.12.7_1,62.1997,34.3482
173,3.0,3,AFG.4_1,66.8972,36.7564
174,3.0,2,AFG.33_1,68.6175,34.1886
175,3.0,1,AFG.32_1,65.4718,32.9623
176,4.0,91,AFG,66.0,33.0
177,1.0,17,,105.85,21.0333
178,1.0,3,,105.374,21.2364
179,4.0,89,VNM,107.8333,16.1667
180,1.0,4,,113.917,22.3077
181,1.0,2,,114.167,22.2833
182,1.0,1,,114.183,22.3
183,4.0,79,HKG,114.1667,22.25
184,1.0,1,,32.9463,24.4767
185,1.0,1,,31.1333,29.9667
186,1.0,1,,31.25,30.05
187,2.0,1,EGY.8.13_1,31.2122,30.0086
188,3.0,2,,32.5628,29.9314
189,4.0,71,EGY,30.0,27.0
190,1.0,2,,127.0,37.5664
191,4.0,67,KOR,127.5,37.0
192,1.0,4,,35.2333,31.7667
193,1.0,1,,34.7667,32.0667
194,1.0,1,,35.0195,32.7618
195,3.0,2,ISR.1_1,35.8072,32.9049
196,4.0,64,ISR,34.75,31.5
197,1.0,11,,125.755,39.0194
198,1.0,1,,125.804,39.8133
199,4.0,61,PRK,127.0,40.0
200,1.0,1,,-6.9261,52.8408
201,1.0,1,,-8.1167,54.65
202,4.0,60,IRL,-8.0,53.0
203,1.0,42,,-77.0364,38.8951
204,1.0,8,,-157.858,21.3069
205,1.0,7,,-80.3836,25.7522
206,1.0,4,,-118.327,34.0983
207,1.0,4,,-71.137,42.6584
208,1.0,3,,-122.166,37.4241
209,1.0,3,,-87.6501,41.85
210,1.0,2,,-78.8784,35.0527
211,1.0,2,,-115.984,36.2083
212,1.0,2,,-122.143,37.4419
213,1.0,2,,-119.767,39.1638
214,1.0,2,,-75.1935,39.9509
215,1.0,2,,-70.03,41.9376
216,1.0,2,,-71.0598,42.3584
217,1.0,2,,-71.1351,42.6987
218,1.0,1,,-155.073,19.7083
219,1.0,1,,-80.1937,25.7743
220,1.0,1,,-112.074,33.4484
221,1.0,1,,-118.244,34.0522
222,1.0,1,,-76.7572,34.9929
223,1.0,1,,-80.1228,36.1449
224,1.0,1,,-122.17,37.4289
225,1.0,1,,-122.487,37.5049
226,1.0,1,,-77.1003,38.9807
227,1.0,1,,-77.1094,39.0327
228,1.0,1,,-119.501,39.3752
229,1.0,1,,-119.814,39.5296
230,1.0,1,,-74.1496,40.5834
231,1.0,1,,-69.9953,41.964
232,1.0,1,,-75.1704,42.3442
233,1.0,1,,-122.332,47.6062
234,2.0,5,USA.29.11_1,-119.126,39.0002
235,2.0,5,USA.22.1_1,-70.0328,41.7001
236,2.0,2,USA.34.54_1,-77.6497,35.2335
237,2.0,2,USA.29.13_1,-116.501,38.0002
238,2.0,1,USA.12.5_1,-156.311,20.9228
239,2.0,1,USA.22.5_1,-70.8328,42.6668
240,3.0,59,,-157.531,21.1098
241,3.0,32,USA.34_1,-79.8431,35.6411
242,3.0,20,USA.33_1,-74.9384,42.1497
243,3.0,13,USA.5_1,-119.746,36.17
244,3.0,13,USA.29_1,-117.122,38.4199
245,3.0,10,USA.41_1,-80.9066,33.8191
246,3.0,10,USA.22_1,-71.5314,42.2373
247,3.0,8,USA.10_1,-81.717,27.8333
248,3.0,7,USA.44_1,-97.6475,31.106
249,3.0,5,USA.19_1,-91.8749,31.1801
250,3.0,5,USA.21_1,-76.7902,39.0724
251,3.0,5,USA.36_1,-82.7755,40.3736
252,3.0,4,USA.39_1,-77.264,40.5773
253,3.0,3,USA.9_1,-77.0262,38.8964
254,3.0,2,USA.25_1,-89.6812,32.7673
